iter	RMSE
0	13.90635231
1	12.81176052
2	11.82350286
3	10.93065553
4	10.14608846
5	9.429165356
6	8.812886831
7	8.252473189
8	7.772458927
9	7.335234339
10	6.959379616
11	6.617125721
12	6.336537017
13	6.081715071
14	5.850207215
15	5.650640553
16	5.496491191
17	5.301443129
18	5.155726452
19	5.024668908
20	4.913302128
21	4.813230019
22	4.733539746
23	4.641757634
24	4.545902547
25	4.477673909
26	4.4104916
27	4.354585387
28	4.291442077
29	4.238602696
30	4.18181507
31	4.122763465
32	4.078373624
33	4.033985467
34	3.97281071
35	3.936590967
36	3.904189275
37	3.848170145
38	3.803622774
39	3.771334734
40	3.726741655
41	3.692672033
42	3.647900317
43	3.623002144
44	3.602005433
45	3.577467365
46	3.546485722
47	3.508049383
48	3.477026913
49	3.440158303
50	3.403256488
51	3.387841356
52	3.367016261
53	3.334868259
54	3.308450058
55	3.287742
56	3.260811526
57	3.240450131
58	3.223447626
59	3.194488698
60	3.174022722
61	3.148892931
62	3.118219745
63	3.093298916
64	3.078396645
65	3.05854246
66	3.035317451
67	3.010185597
68	2.987431393
69	2.953767662
70	2.932127099
71	2.9199145
72	2.897932856
73	2.854081975
74	2.843847625
75	2.822754139
76	2.809259724
77	2.790993724
78	2.75892603
79	2.71942568
80	2.707095798
81	2.68837835
82	2.665025461
83	2.638796918
84	2.609944671
85	2.586678408
86	2.57603812
87	2.558995053
88	2.539072306
89	2.525140157
90	2.515627622
91	2.502159461
92	2.477001142
93	2.463419838
94	2.44643089
95	2.422391309
96	2.396516566
97	2.388054409
98	2.372679878
99	2.358795641
