iter	Passed	Remaining
0	1	647
1	2	538
2	3	512
3	4	494
4	6	487
5	7	472
6	8	458
7	9	448
8	10	442
9	11	438
10	12	424
11	13	421
12	14	425
13	15	430
14	16	430
15	17	428
16	19	430
17	20	432
18	21	432
19	22	433
20	24	434
21	25	434
22	26	436
23	27	436
24	29	440
25	30	440
26	32	443
27	33	446
28	35	449
29	36	454
30	38	459
31	40	464
32	42	468
33	44	473
34	45	477
35	47	481
36	49	485
37	51	487
38	53	490
39	54	491
40	56	492
41	58	494
42	59	497
43	61	493
44	62	494
45	64	495
46	66	497
47	67	498
48	69	498
49	71	497
50	72	497
51	74	497
52	76	497
53	77	497
54	79	495
55	80	494
56	82	493
57	83	492
58	84	491
59	86	489
60	87	488
61	89	487
62	90	486
63	92	484
64	93	482
65	95	481
66	96	479
67	97	477
68	99	476
69	100	473
70	101	471
71	103	469
72	104	468
73	105	466
74	107	464
75	108	463
76	110	461
77	111	458
78	112	457
79	113	455
80	115	453
81	116	451
82	117	448
83	119	447
84	119	444
85	121	443
86	122	442
87	124	440
88	125	439
89	126	437
90	128	435
91	129	433
92	130	431
93	132	430
94	133	428
95	135	427
96	136	425
97	137	424
98	138	422
99	140	420
100	141	418
101	142	417
102	144	415
103	145	414
104	146	412
105	148	411
106	149	409
107	151	408
108	151	405
109	153	404
110	154	402
111	156	401
112	157	400
113	159	399
114	160	398
115	162	396
116	163	395
117	164	393
118	166	392
119	166	389
120	168	388
121	169	386
122	171	385
123	172	384
124	174	383
125	176	384
126	182	391
127	183	390
128	185	389
129	186	387
130	188	386
131	189	385
132	191	384
133	193	383
134	194	382
135	196	381
136	197	379
137	199	378
138	201	377
139	202	376
140	204	375
141	205	373
142	207	372
143	208	371
144	210	369
145	211	368
146	213	366
147	214	365
148	215	363
149	217	362
150	218	360
151	220	359
152	221	357
153	222	355
154	223	353
155	225	352
156	226	350
157	227	348
158	229	347
159	230	345
160	231	344
161	233	342
162	234	341
163	235	339
164	237	338
165	238	336
166	240	335
167	241	333
168	242	331
169	243	329
170	245	328
171	246	326
172	247	325
173	249	323
174	250	322
175	251	320
176	253	318
177	254	317
178	255	315
179	257	314
180	258	312
181	259	311
182	261	309
183	262	307
184	263	306
185	264	304
186	266	303
187	267	301
188	268	300
189	270	298
190	271	296
191	272	295
192	274	293
193	275	292
194	276	290
195	277	289
196	278	287
197	280	285
198	281	284
199	282	282
200	284	281
201	285	279
202	286	278
203	288	277
204	289	275
205	291	274
206	292	272
207	294	271
208	295	269
209	296	268
210	298	267
211	299	265
212	301	264
213	302	262
214	303	261
215	305	260
216	306	258
217	308	257
218	309	255
219	310	254
220	312	252
221	313	251
222	315	250
223	316	248
224	318	247
225	319	246
226	321	244
227	322	243
228	323	241
229	325	240
230	326	238
231	327	237
232	329	236
233	330	234
234	331	233
235	333	231
236	334	230
237	335	228
238	336	227
239	338	225
240	339	224
241	340	222
242	342	221
243	343	219
244	344	218
245	346	216
246	347	215
247	348	213
248	349	212
249	351	210
250	352	209
251	354	208
252	355	206
253	357	205
254	358	203
255	359	202
256	361	201
257	362	199
258	364	198
259	365	196
260	367	195
261	368	194
262	370	192
263	371	191
264	373	190
265	374	188
266	375	187
267	377	185
268	378	184
269	379	182
270	381	181
271	382	179
272	383	178
273	384	177
274	386	175
275	387	174
276	388	172
277	390	171
278	391	169
279	392	168
280	394	166
281	395	165
282	396	163
283	398	162
284	399	161
285	400	159
286	402	158
287	403	156
288	404	155
289	406	154
290	407	152
291	408	151
292	410	149
293	411	148
294	412	146
295	414	145
296	415	144
297	416	142
298	418	141
299	419	139
300	420	138
301	421	136
302	423	135
303	424	134
304	426	132
305	427	131
306	428	129
307	429	128
308	431	126
309	432	125
310	433	124
311	435	122
312	436	121
313	437	119
314	439	118
315	440	117
316	442	115
317	443	114
318	445	113
319	446	111
320	448	110
321	449	108
322	451	107
323	452	106
324	454	104
325	456	103
326	457	102
327	459	100
328	460	99
329	461	97
330	463	96
331	464	95
332	466	93
333	467	92
334	469	91
335	470	89
336	471	88
337	473	86
338	474	85
339	476	84
340	477	82
341	478	81
342	480	79
343	481	78
344	482	76
345	484	75
346	485	74
347	486	72
348	487	71
349	489	69
350	490	68
351	491	67
352	493	65
353	494	64
354	495	62
355	496	61
356	498	59
357	499	58
358	500	57
359	501	55
360	502	54
361	504	52
362	505	51
363	506	50
364	508	48
365	509	47
366	511	45
367	512	44
368	513	43
369	515	41
370	516	40
371	518	39
372	520	37
373	521	36
374	523	34
375	524	33
376	526	32
377	527	30
378	529	29
379	530	27
380	532	26
381	533	25
382	535	23
383	536	22
384	538	20
385	539	19
386	541	18
387	543	16
388	544	15
389	546	14
390	547	12
391	549	11
392	550	9
393	551	8
394	553	7
395	554	5
396	556	4
397	557	2
398	559	1
399	560	0
