iter	Passed	Remaining
0	263	263300
1	264	132107
2	265	88395
3	267	66514
4	268	53425
5	269	44672
6	270	38407
7	272	33737
8	273	30089
9	274	27187
10	275	24789
11	276	22792
12	277	21104
13	279	19651
14	280	18406
15	281	17312
16	282	16345
17	283	15485
18	285	14720
19	286	14034
20	287	13404
21	288	12831
22	289	12313
23	291	11839
24	292	11407
25	294	11014
26	295	10653
27	297	10322
28	299	10012
29	300	9723
30	302	9445
31	303	9183
32	305	8941
33	306	8715
34	308	8501
35	310	8305
36	311	8118
37	313	7943
38	315	7776
39	317	7614
40	318	7459
41	320	7314
42	322	7174
43	324	7049
44	326	6932
45	328	6813
46	330	6695
47	331	6581
48	333	6470
49	334	6364
50	336	6261
51	338	6164
52	340	6077
53	341	5988
54	343	5906
55	346	5837
56	347	5756
57	349	5679
58	351	5604
59	353	5536
60	356	5480
61	358	5424
62	360	5368
63	362	5302
64	364	5237
65	365	5174
66	367	5112
67	369	5061
68	372	5027
69	374	4973
70	375	4919
71	377	4865
72	379	4813
73	380	4760
74	381	4708
75	383	4665
76	386	4632
77	388	4589
78	389	4545
79	391	4500
80	392	4456
81	394	4413
82	395	4364
83	396	4323
84	398	4285
85	399	4247
86	401	4210
87	402	4173
88	404	4137
89	405	4102
90	407	4066
91	408	4031
92	409	3998
93	411	3964
94	412	3932
95	414	3901
96	415	3871
97	417	3839
98	418	3808
99	419	3779
100	421	3751
101	422	3723
102	424	3696
103	425	3669
104	427	3643
105	429	3618
106	430	3596
107	432	3573
108	434	3549
109	435	3527
110	437	3504
111	439	3482
112	440	3460
113	442	3438
114	444	3418
115	446	3401
116	447	3379
117	449	3360
118	451	3342
119	453	3324
120	455	3306
121	456	3286
122	458	3268
123	460	3252
124	462	3236
125	464	3219
126	465	3201
127	467	3184
128	469	3167
129	470	3149
130	472	3132
131	474	3117
132	475	3102
133	477	3086
134	479	3070
135	480	3053
136	482	3037
137	483	3021
138	485	3006
139	486	2991
140	488	2977
141	489	2959
142	491	2946
143	493	2935
144	495	2921
145	496	2906
146	498	2893
147	500	2879
148	501	2864
149	503	2851
150	504	2837
151	506	2825
152	508	2813
153	510	2801
154	511	2790
155	513	2779
156	515	2767
157	517	2755
158	518	2744
159	520	2734
160	521	2719
161	523	2708
162	525	2697
163	527	2686
164	528	2676
165	530	2666
166	532	2655
167	534	2645
168	535	2634
